orig,dest,start_t,end_t,q
1,2,0,3600,0.0035
1,3,0,3600,0.001261111111111111
1,4,0,3600,0.0006138888888888889
1,5,0,3600,0.001075
1,6,0,3600,0.0008638888888888889
1,7,0,3600,0.0008555555555555556
1,8,0,3600,0.0013916666666666667
1,9,0,3600,0.00968611111111111
1,10,0,3600,0.0013833333333333334
1,11,0,3600,0.0010916666666666668
1,12,0,3600,0.0018555555555555554
1,13,0,3600,0.0009583333333333334
1,14,0,3600,0.0012166666666666667
1,15,0,3600,0.000911111111111111
1,16,0,3600,0.0009361111111111112
1,17,0,3600,0.002563888888888889
1,18,0,3600,0.003652777777777778
1,19,0,3600,0.008352777777777778
1,20,0,3600,0.0010777777777777778
1,21,0,3600,0.0014694444444444444
1,22,0,3600,0.00038888888888888887
1,23,0,3600,0.006611111111111111
2,1,0,3600,0.003472222222222222
2,3,0,3600,0.001736111111111111
2,4,0,3600,0.0012777777777777776
2,5,0,3600,0.0021666666666666666
2,6,0,3600,0.0014638888888888887
2,7,0,3600,0.0016333333333333332
2,8,0,3600,0.002036111111111111
2,9,0,3600,0.017369444444444444
2,10,0,3600,0.0018361111111111113
2,11,0,3600,0.002363888888888889
2,12,0,3600,0.0037055555555555557
2,13,0,3600,0.0012555555555555553
2,14,0,3600,0.0015666666666666665
2,15,0,3600,0.0017833333333333334
2,16,0,3600,0.0018777777777777777
2,17,0,3600,0.005511111111111111
2,18,0,3600,0.005655555555555555
2,19,0,3600,0.011791666666666667
2,20,0,3600,0.0013916666666666667
2,21,0,3600,0.002136111111111111
2,22,0,3600,0.0005722222222222222
2,23,0,3600,0.013144444444444445
3,1,0,3600,0.0011361111111111112
3,2,0,3600,0.0022444444444444443
3,4,0,3600,0.0047083333333333335
3,5,0,3600,0.012369444444444445
3,6,0,3600,0.006080555555555556
3,7,0,3600,0.007563888888888889
3,8,0,3600,0.011275
3,9,0,3600,0.0037277777777777778
3,10,0,3600,0.010205555555555556
3,11,0,3600,0.014477777777777777
3,12,0,3600,0.014197222222222222
3,13,0,3600,0.007316666666666667
3,14,0,3600,0.009394444444444445
3,15,0,3600,0.009238888888888888
3,16,0,3600,0.012108333333333334
3,17,0,3600,0.0014138888888888888
3,18,0,3600,0.00115
3,19,0,3600,0.002025
3,20,0,3600,0.006372222222222223
3,21,0,3600,0.01053611111111111
3,22,0,3600,0.0019277777777777778
3,23,0,3600,0.0027916666666666667
4,1,0,3600,0.0007722222222222222
4,2,0,3600,0.0010222222222222223
4,3,0,3600,0.0045361111111111106
4,5,0,3600,0.006111111111111111
4,6,0,3600,0.004233333333333334
4,7,0,3600,0.004716666666666667
4,8,0,3600,0.008819444444444444
4,9,0,3600,0.0018527777777777778
4,10,0,3600,0.0052138888888888886
4,11,0,3600,0.006600000000000001
4,12,0,3600,0.0079
4,13,0,3600,0.004008333333333333
4,14,0,3600,0.0058249999999999994
4,15,0,3600,0.004747222222222222
4,16,0,3600,0.007569444444444445
4,17,0,3600,0.0007222222222222223
4,18,0,3600,0.0009555555555555555
4,19,0,3600,0.0013055555555555557
4,20,0,3600,0.0047888888888888885
4,21,0,3600,0.008172222222222223
4,22,0,3600,0.0017527777777777776
4,23,0,3600,0.0011472222222222222
5,1,0,3600,0.001411111111111111
5,2,0,3600,0.0020444444444444447
5,3,0,3600,0.012583333333333332
5,4,0,3600,0.006461111111111112
5,6,0,3600,0.005555555555555556
5,7,0,3600,0.007822222222222222
5,8,0,3600,0.012302777777777777
