name,start,end,length,u,kappa,merge_priority
1-31,1,31,100.0,20.0,0.2,1
1-32,1,32,100.0,20.0,0.2,1
1-159,1,159,100.0,20.0,0.2,1
1-161,1,161,100.0,20.0,0.2,1
2-31,2,31,100.0,20.0,0.2,1
2-32,2,32,100.0,20.0,0.2,1
2-37,2,37,100.0,20.0,0.2,1
2-216,2,216,100.0,20.0,0.2,1
3-42,3,42,100.0,20.0,0.2,1
3-44,3,44,100.0,20.0,0.2,1
3-61,3,61,100.0,20.0,0.2,1
3-62,3,62,100.0,20.0,0.2,1
4-70,4,70,100.0,20.0,0.2,1
4-71,4,71,100.0,20.0,0.2,1
4-75,4,75,100.0,20.0,0.2,1
4-82,4,82,100.0,20.0,0.2,1
5-73,5,73,100.0,20.0,0.2,1
5-77,5,77,100.0,20.0,0.2,1
5-78,5,78,100.0,20.0,0.2,1
5-96,5,96,100.0,20.0,0.2,1
6-193,6,193,100.0,20.0,0.2,1
6-194,6,194,100.0,20.0,0.2,1
6-195,6,195,100.0,20.0,0.2,1
6-198,6,198,100.0,20.0,0.2,1
7-179,7,179,100.0,20.0,0.2,1
7-200,7,200,100.0,20.0,0.2,1
7-201,7,201,100.0,20.0,0.2,1
7-202,7,202,100.0,20.0,0.2,1
8-99,8,99,100.0,20.0,0.2,1
8-113,8,113,100.0,20.0,0.2,1
8-114,8,114,100.0,20.0,0.2,1
8-116,8,116,100.0,20.0,0.2,1
9-29,9,29,100.0,20.0,0.2,1
9-39,9,39,100.0,20.0,0.2,1
9-47,9,47,100.0,20.0,0.2,1
9-140,9,140,100.0,20.0,0.2,1
10-74,10,74,100.0,20.0,0.2,1
10-76,10,76,100.0,20.0,0.2,1
10-79,10,79,100.0,20.0,0.2,1
10-80,10,80,100.0,20.0,0.2,1
11-134,11,134,100.0,20.0,0.2,1
11-142,11,142,100.0,20.0,0.2,1
11-144,11,144,100.0,20.0,0.2,1
11-145,11,145,100.0,20.0,0.2,1
12-92,12,92,100.0,20.0,0.2,1
12-94,12,94,100.0,20.0,0.2,1
12-126,12,126,100.0,20.0,0.2,1
12-127,12,127,100.0,20.0,0.2,1
13-68,13,68,100.0,20.0,0.2,1
13-72,13,72,100.0,20.0,0.2,1
13-128,13,128,100.0,20.0,0.2,1
13-220,13,220,100.0,20.0,0.2,1
14-164,14,164,100.0,20.0,0.2,1
14-165,14,165,100.0,20.0,0.2,1
14-173,14,173,100.0,20.0,0.2,1
14-189,14,189,100.0,20.0,0.2,1
15-151,15,151,100.0,20.0,0.2,1
15-157,15,157,100.0,20.0,0.2,1
15-183,15,183,100.0,20.0,0.2,1
15-184,15,184,100.0,20.0,0.2,1
16-99,16,99,100.0,20.0,0.2,1
16-100,16,100,100.0,20.0,0.2,1
16-103,16,103,100.0,20.0,0.2,1
16-104,16,104,100.0,20.0,0.2,1
17-88,17,88,100.0,20.0,0.2,1
17-89,17,89,100.0,20.0,0.2,1
17-159,17,159,100.0,20.0,0.2,1
17-160,17,160,100.0,20.0,0.2,1
18-29,18,29,100.0,20.0,0.2,1
18-30,18,30,100.0,20.0,0.2,1
18-39,18,39,100.0,20.0,0.2,1
18-47,18,47,100.0,20.0,0.2,1
19-26,19,26,100.0,20.0,0.2,1
19-136,19,136,100.0,20.0,0.2,1
19-138,19,138,100.0,20.0,0.2,1
19-139,19,139,100.0,20.0,0.2,1
20-52,20,52,100.0,20.0,0.2,1
20-53,20,53,100.0,20.0,0.2,1
20-60,20,60,100.0,20.0,0.2,1
20-190,20,190,100.0,20.0,0.2,1
21-65,21,65,100.0,20.0,0.2,1
21-190,21,190,100.0,20.0,0.2,1
21-201,21,201,100.0,20.0,0.2,1
21-208,21,208,100.0,20.0,0.2,1
22-179,22,179,100.0,20.0,0.2,1
22-190,22,190,100.0,20.0,0.2,1
22-200,22,200,100.0,20.0,0.2,1
22-206,22,206,100.0,20.0,0.2,1
23-25,23,25,100.0,20.0,0.2,1
23-54,23,54,100.0,20.0,0.2,1
23-57,23,57,100.0,20.0,0.2,1
23-223,23,223,100.0,20.0,0.2,1
24-27,24,27,25.0,25.0,0.2,1
24-28,24,28,414.0,32.68420966620501,0.2,1
25-23,25,23,100.0,20.0,0.2,1
25-26,25,26,317.0,22.642857142857142,0.2,1
26-19,26,19,100.0,20.0,0.2,1
26-27,26,27,181.0,20.884614581360978,0.2,1
27-24,27,24,25.0,37.49998125000938,0.2,1
27-42,27,42,408.0,18.545454545454547,0.2,1
27-141,27,141,212.0,25.440001017600043,0.2,1
28-57,28,57,308.0,27.176471387543277,0.2,1
29-9,29,9,100.0,20.0,0.2,1
29-18,29,18,100.0,20.0,0.2,1
29-30,29,30,182.0,15.599999554285727,0.2,1
29-39,29,39,43.0,43.0,0.2,1
30-18,30,18,100.0,20.0,0.2,1
30-36,30,36,225.0,22.5,0.2,1
31-1,31,1,100.0,20.0,0.2,1
31-2,31,2,100.0,20.0,0.2,1
31-40,31,40,239.0,21.727272727272727,0.2,1
31-216,31,216,210.0,19.09090909090909,0.2,1
32-1,32,1,100.0,20.0,0.2,1
32-2,32,2,100.0,20.0,0.2,1
32-31,32,31,35.0,20.999995800000843,0.2,1
32-38,32,38,241.0,28.920001156800048,0.2,1
33-32,33,32,199.0,15.710525902354581,0.2,1
34-35,34,35,34.0,50.99997450001275,0.2,1
35-41,35,41,17.0,25.499987250006374,0.2,1
35-180,35,180,138.0,18.81818267355376,0.2,1
36-37,36,37,123.0,33.54545149586804,0.2,1
36-38,36,38,35.0,35.0,0.2,1
37-2,37,2,100.0,20.0,0.2,1
37-31,37,31,118.0,7.695652341209834,0.2,1
38-36,38,36,35.0,35.0,0.2,1
38-39,38,39,423.0,37.32353050951561,0.2,1
38-162,38,162,85.0,28.333333333333332,0.2,1
39-9,39,9,100.0,20.0,0.2,1
39-18,39,18,100.0,20.0,0.2,1
39-49,39,49,75.0,22.500002250000225,0.2,1
40-34,40,34,18.0,54.000054000054,0.2,1
40-84,40,84,215.0,46.07142528061247,0.2,1
41-33,41,33,37.0,27.750006937501734,0.2,1
41-40,41,40,34.0,50.99997450001275,0.2,1
42-3,42,3,100.0,20.0,0.2,1
42-43,42,43,39.0,14.624998171875228,0.2,1
42-50,42,50,35.0,20.999995800000843,0.2,1
43-47,43,47,223.0,31.857142857142858,0.2,1
