name,start,end,length,u,kappa
1,1,30,342.1126101972859,20.0,0.2
2,1,31,277.1106518992007,20.0,0.2
3,1,139,227.76982715891043,20.0,0.2
4,1,141,127.03750224244781,20.0,0.2
5,2,30,259.89223016473517,20.0,0.2
6,2,31,324.63408231422613,20.0,0.2
7,2,36,359.64427424887396,20.0,0.2
8,2,184,140.1595922511193,20.0,0.2
9,3,39,332.0268347965265,48.28813545274347,0.20000000000000004
10,4,59,250.00475160484444,40.0,0.2
11,4,60,264.74944419205167,20.0,0.2
12,4,65,121.53373235443775,20.0,0.2
13,5,62,90.90441399624139,20.0,0.2
14,5,77,279.185441642737,35.77777777777778,0.2
15,6,166,108.60080904394768,20.0,0.2
16,6,167,678.3657518855518,40.0,0.2
17,6,168,142.96875503409828,20.0,0.2
18,7,154,314.6676935896023,40.0,0.2
19,7,171,143.4241196033638,20.0,0.2
20,7,172,381.1530696452543,20.0,0.2
21,8,79,354.2956371958305,20.0,0.2
22,8,93,173.4301763361845,20.0,0.2
23,8,94,78.22993209763112,20.0,0.2
24,8,96,134.26322512512525,20.0,0.2
25,9,28,416.20458346827525,20.0,0.2
26,9,38,490.26955045158627,20.0,0.2
27,9,43,454.0531397314639,20.0,0.2
28,9,120,368.943819198804,20.0,0.2
29,10,63,325.6104317278555,40.0,0.2
30,10,64,319.76158661727936,40.0,0.2
31,11,114,364.3169044334893,20.0,0.2
32,11,122,337.3008522313577,20.0,0.2
33,11,124,347.3738910396116,20.0,0.2
34,11,125,246.81121144713032,20.0,0.2
35,12,73,323.9915012913144,20.0,0.2
36,12,75,382.58273021792286,20.0,0.2
37,12,106,314.5688724667467,20.0,0.2
38,12,107,350.2283240915852,20.0,0.2
39,13,58,415.7994878135362,20.0,0.2
40,13,61,328.54550108166114,20.0,0.2
41,13,108,207.21204104974285,20.0,0.2
42,13,187,363.48544320371275,20.0,0.2
43,14,144,335.9925539777629,40.0,0.2
44,14,149,272.2104168249262,20.0,0.2
45,14,162,280.05875158794805,20.0,0.2
46,15,131,496.3031002683745,20.0,0.2
47,15,137,368.7850707715809,20.0,0.2
48,15,157,276.1731467920084,40.0,0.2
49,16,79,190.34518057728764,20.0,0.2
50,16,80,217.75244323772776,20.0,0.2
51,16,83,246.10369151233806,20.0,0.2
52,16,84,290.35514535823233,20.0,0.2
53,17,70,645.3435984295494,40.0,0.2
54,17,139,536.213137720441,20.0,0.2
55,17,140,445.5974119359312,20.0,0.2
56,18,28,450.0169696800335,20.0,0.2
57,18,29,393.6180373153653,20.0,0.2
58,18,38,405.69069326273666,20.0,0.2
59,18,43,552.1615931953255,20.0,0.2
60,19,26,540.05674535182,20.0,0.2
61,19,116,553.5665529094033,20.0,0.2
62,19,118,412.91155287785284,20.0,0.2
63,19,119,376.0939383983738,20.0,0.2
64,20,47,524.6336637397565,20.0,0.2
