orig,dest,start_t,end_t,q
1,2,0,4800,0.284562
1,3,0,4800,0.084875
1,4,0,4800,0.179458
1,5,0,4800,0.073833
1,6,0,4800,0.113563
1,7,0,4800,0.089896
1,8,0,4800,0.000208
1,9,0,4800,0.011833
1,10,0,4800,0.015688
1,11,0,4800,0.000208
1,12,0,4800,0.007896
1,13,0,4800,0.010104
1,14,0,4800,0.000208
1,15,0,4800,0.038729
1,16,0,4800,0.002521
1,17,0,4800,0.016896
1,18,0,4800,0.026375
1,19,0,4800,0.014
1,20,0,4800,0.079667
1,21,0,4800,0.021167
1,22,0,4800,0.014938
1,23,0,4800,0.005375
1,24,0,4800,0.004396
1,25,0,4800,0.138563
1,26,0,4800,0.006042
1,27,0,4800,0.003938
1,28,0,4800,0.015813
1,29,0,4800,0.028979
1,30,0,4800,0.024812
1,31,0,4800,0.061583
1,32,0,4800,0.017896
1,33,0,4800,0.015479
1,34,0,4800,0.020083
1,35,0,4800,0.011167
1,36,0,4800,0.007896
1,37,0,4800,0.002854
1,38,0,4800,0.022437
2,1,0,4800,0.244
2,3,0,4800,0.126688
2,4,0,4800,0.264875
2,5,0,4800,0.112979
2,6,0,4800,0.168417
2,7,0,4800,0.131062
2,8,0,4800,0.000208
2,9,0,4800,0.015604
2,10,0,4800,0.018187
2,11,0,4800,0.000208
2,12,0,4800,0.010021
2,13,0,4800,0.013312
2,14,0,4800,0.000208
2,15,0,4800,0.117979
2,16,0,4800,0.004583
2,17,0,4800,0.022396
2,18,0,4800,0.044562
2,19,0,4800,0.021062
2,20,0,4800,0.106479
2,21,0,4800,0.032667
2,22,0,4800,0.021917
2,23,0,4800,0.008125
2,24,0,4800,0.009917
2,25,0,4800,0.196271
2,26,0,4800,0.010792
2,27,0,4800,0.005771
2,28,0,4800,0.023312
2,29,0,4800,0.040438
2,30,0,4800,0.040583
2,31,0,4800,0.068729
2,32,0,4800,0.019813
2,33,0,4800,0.016479
2,34,0,4800,0.028104
2,35,0,4800,0.016937
2,36,0,4800,0.011479
2,37,0,4800,0.004083
2,38,0,4800,0.034771
3,1,0,4800,0.150229
3,2,0,4800,0.257896
3,4,0,4800,0.230813
